strTaxClass,strSppC,strITIScode,strElCode,strGName,strSComNam,strSeasWarn,strGRank,strGRank2,strSRankAL,strSRankAL2,strSRankFL,strSRankFL2,strSRankGA,strSRankGA2,strSRankKY,strSRankKY2,strSRankMS,strSRankMS2,strSRankNC,strSRankNC2,strSRankSC,strSRankSC2,strSRankTN,strSRankTN2,strSRankVA,strSRankVA2,strSProtAL,strSProtFL,strSProtGA,strSProtKY,strSProtMS,strSProtNC,strSProtSC,strSProtTN,strSProtVA,strSGCNAL,strSGCNFL,strSGCNGA,strSGCNKY,strSGCNMS,strSGCNNC,strSGCNSC,strSGCNTN,strSGCNVA,USESA_CODE
Avian,bRBNU,178784,ABPAZ01010,"Sitta canadensis","Red-breasted Nuthatch","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S4N,,SNRN,,S4,,S1B,S1B,SNA,,"S3B,S4N","S3B,S4N",S4,,"S2B,S4N","S2B,S4N","S2B,S4N","S2B,S4N",,,,E,,"W2,W5",,,SC,0,0,0,1,0,0,0,1,0,
Avian,bRBWO,178195,ABNYF04170,"Melanerpes carolinus","Red-bellied Woodpecker",,G5,,S5,,SNR,,S5,,S5,,S5,,S5,,SNR,,S5,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bRCWO,178257,ABNYF07060,"Picoides borealis","Red-cockaded Woodpecker",,G3,G3,S2,S2,S2,S2,S2,S2,SX,,S1,S1,S2,S2,S2,S2,SX,,S1,S1,SP,FE,E,X,LE,E,SE,,LE,1,1,1,1,1,1,1,0,1,LE
Avian,bRECR,179259,ABPBY05010,"Loxia curvirostra","Red Crossbill","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S1B,S1B,,,SU,,SNA,,SNA,,"S3B,S3N","S3B,S3N",S4,,"S1B,S2N","S1B,S2N",S1,S1,,,,N,,,,,SC,0,0,0,0,0,1,1,0,1,
Avian,bREDH,175125,ABNJB11030,"Aythya americana",Redhead,,G5,,S4N,,SNRN,,S4,,SNA,,S4N,,S3N,S3N,SNRN,,S4N,,SNRN,,GB,,,N,,,,,,0,0,0,0,0,0,1,0,1,
Avian,bREEG,174824,ABNGA06060,"Egretta rufescens","Reddish Egret",,G4,,"S1B,S3N","S1B,S3N",S2,S2,S4,,SNA,,S2N,S2N,SNA,,,,,,SNA,,SP,SSC,,N,,,,,,1,1,0,0,1,0,0,0,0,
Avian,bREVI,179021,ABPBW01240,"Vireo olivaceus","Red-eyed Vireo","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5B,,SNRB,,S5,,S5B,,S5B,,S5B,,SNRB,,S5,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bRHWO,178186,ABNYF04040,"Melanerpes erythrocephalus","Red-headed Woodpecker",,G5,,S5,,SNR,,S4,,"S4B,S4N",,S4S5,,"S4B,S4N",,SNR,,S4,,S4B,,,,,N,,,,,,0,1,0,1,1,1,0,1,0,
Avian,bRNDU,175128,ABNJB11040,"Aythya collaris","Ring-necked Duck",,G5,,S5N,,SNRN,,S4,,S4N,,S5N,,S5N,,SNRN,,S5N,,SNRN,,GB,,,N,,,,,,0,0,0,0,0,0,1,0,0,
Avian,bRNEP,175905,ABNLC07010,"Phasianus colchicus","Ring-necked Pheasant",,G5,,,,,,,,,,,,SNA,,,,SNA,,SNA,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bRODO,177071,ABNPB01010,"Columba livia","Rock Pigeon",,G5,,SNA,,SNA,,SNA,,SNA,,SNA,,SNA,,SNA,,SNA,,SNA,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bROSP,174940,ABNGE05010,"Platalea ajaja","Roseate Spoonbill","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,SNR,,S2,S2,SNA,,SNA,,"S1B,S2N","S1B,S2N",SNA,,,,,,,,,SSC,,N,,,,,,0,1,0,0,0,0,0,0,0,
Avian,bROST,176891,ABNNM08060,"Sterna dougallii","Roseate Tern","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G4,,SNA,,S1,S1,SNA,,,,SNA,,SUB,,SNA,,,,SHB,,,FT,,,,E,,,LE,0,1,0,0,0,0,0,0,1,
Avian,bROYT,176922,ABNNM08030,"Sterna maxima","Royal Tern","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,"S1B,S5N","S1B,S5N",S3,S3,S5,,,,"S1B,S4N","S1B,S4N","S4B,S4N",,"SNRB,SNRN",,,,S2B,S2B,,,,,,,,,,0,1,0,0,1,0,1,0,1,
Avian,bRSHA,175359,ABNKC19030,"Buteo lineatus","Red-shouldered Hawk",,G5,,S5,,SNR,,S4,,"S4B,S4N",,S4B,,"S4B,S4N",,SNR,,S4B,,S4,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bRTHA,175350,ABNKC19110,"Buteo jamaicensis","Red-tailed Hawk",,G5,,"S4B,S5N",,SNR,,S5,,"S4S5B,S4S5N",,S5B,,"S5B,S5N",,"SNRB,SNRN",,S5,,S4,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bRTHU,178032,ABNUC45010,"Archilochus colubris","Ruby-throated Hummingbird","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5,,"SNRB,SNRN",,S5,,S5B,,S5B,,S5B,,SNRB,,S5,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bRUDU,175175,ABNJB22010,"Oxyura jamaicensis","Ruddy Duck",,G5,,S4N,,SNRN,,S5,,SNA,,SNA,,S5N,,SNRN,,S5N,,SNRN,,GB,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bRUGR,175790,ABNLC11010,"Bonasa umbellus","Ruffed Grouse",,G5,,S1,S1,,,S4,,S4,,,,S4,,S4,,S4,,S5,,GBNOS,,,N,,,,,,0,0,0,0,0,0,1,0,0,
Avian,bRWBL,179045,ABPBXB0010,"Agelaius phoeniceus","Red-winged Blackbird","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5,,SNR,,S5,,"S5B,S4N",,"S5B,S5N",,"S5B,S5N",,"SNRB,SNRN",,S5,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bSACR,176177,ABNMK01010,"Grus canadensis","Sandhill Crane",,G5,,"SHB,S2N","SHB,S2N","SNRB,SNRN",,S2,S2,SNA,,S1,S1,SNA,,SNRN,,S3N,S3N,SNA,,,,,N,,,,,,0,1,1,0,0,0,0,0,0,
Avian,bSATE,176927,ABNNM08050,"Sterna sandvicensis","Sandwich Tern","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,"S1B,S5N","S1B,S5N",S2,S2,S4,,,,"S1B,S4N","S1B,S4N",S3B,S3B,SNR,,,,S1B,S1B,,,,,,"W2,W5",,,SC,0,0,0,0,0,0,0,0,0,
Avian,bSAVS,179314,ABPBX99010,"Passerculus sandwichensis","Savannah Sparrow","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5N,,SNRN,,S5,,"S2S3B,S2S3N","S2S3B,S2S3N",SNA,,"S2B,S5N","S2B,S5N",SNRN,,"S1B,S4N","S1B,S4N","S3S4B,S4N","S3S4B,S4N",,,,S,,SR,,,,0,0,0,1,0,1,0,1,0,
Avian,bSCTA,179883,ABPBX45040,"Piranga olivacea","Scarlet Tanager","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5B,,SNA,,S5,,S5B,,S2?B,S2?B,S5B,,SNRB,,S4,,S5,,,,,N,,,,,,0,0,0,0,1,0,1,0,1,
Avian,bSESP,179346,ABPBXA0060,"Ammodramus maritimus","Seaside Sparrow","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G4,,S3,S3,SNR,,S3,S3,,,S3,S3,"S4B,S4N",,SNR,,,,S4B,,,,,,,,,,,1,1,0,0,1,0,1,0,1,
Avian,bSEWR,178605,ABPBG10010,"Cistothorus platensis","Sedge Wren","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5N,,SNRN,,S3,S3,S3B,S3B,S5N,,"SUB,S4N",,SUB,,S3N,S3N,"S1B,S1S2N","S1B,S1S2N",,,,S,,,,,SC,0,0,0,1,0,1,0,1,1,
Avian,bSHCO,179117,ABPBXB7010,"Molothrus bonariensis","Shiny Cowbird","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,SNR,,SNR,,SNA,,,,SNA,,SNA,,SNA,,,,SNA,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bSNEG,174813,ABNGA06030,"Egretta thula","Snowy Egret","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S4,,S3,S3,S4,,S1B,S1B,"S4B,S1N","S4B,S1N","S3B,S3N","S3B,S3N","SNRB,SNRN",,"S2B,S3N","S2B,S3N","S2B,S3N","S2B,S3N",,SSC,,E,,SC,,,,0,1,0,0,1,1,1,0,0,
Avian,bSNGO,175038,ABNJB04010,"Chen caerulescens","Snow Goose",,G5,,S3N,S3N,SNRN,,S3,S3,S3S4N,S3S4N,SNA,,S4N,,SNRN,,S4N,,SNRN,,GB,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bSNKI,175295,ABNKC07010,"Rostrhamus sociabilis","Snail Kite",,G4G5,,,,SNR,,SNA,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,
